Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter,PSA set,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PSA_set1,,,,,,,,,,,,,,,
4446546.40466523,412186.658502222,2297019.77513285,51132737923.4499,4360662574.71262,23012829770.5897,112110.761168494,5850.45248961167,36348.6499832808,1467400.77312499,162806.719783718,791549.872741399,20481.5937710582,1515.29294115098,8969.53682429926,41270.9878077428,1842.30517555097,13271.7915331246,55469.0414948045,4180.03388621811,23228.496540018,2e+06,1,PSA_set1,11499.4274814724,10579.3394443142,10018.5597092906,0.0252129970016438,0.0141936968820647,0.0158242651529539,10855.45954251,158.690091664713,5420.0408027262,0.0238010691695517,0.000212905453230971,0.00856092744774807,16434.1904369009,0.0325749020705308,49009.0925074317
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
4445186.85130061,411267.754123538,2293381.35525978,58279055776.6318,6143345310.44891,29550133125.2844,155023.139358286,9049.17374574988,54088.3673926633,1595121.12398364,174563.627140968,852043.865982978,27203.3302491498,2334.04982302999,13228.8711773594,99214.2856210994,7374.12588572055,43779.5804108857,72998.5323198218,8398.90047527155,39416.0109081107,2e+06,1,2,13110.5975353049,14937.5808067937,12884.9626589631,0.0348743808852327,0.0220031199991226,0.0235845500656111,12376.4040733279,224.063712101905,6970.76479849904,0.0329214155556597,0.00033004679998684,0.0127592415854956,19571.2325839288,0.0460107039411422,65581.936525071
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,
4450530.63997624,413753.047104988,2303722.70840748,46979683594.2929,4480554213.0916,23096961729.0243,145925.23194422,8565.57548633132,51347.158492678,1419151.75300051,152527.498960662,755031.190230139,24024.362565489,2008.67264980197,11595.4450665313,86987.2981768763,5638.50845164233,37115.0710738136,75027.6432342749,7181.18866742444,37090.5451562335,2e+06,1,3,10555.9735219672,10829.0542980695,10025.9296158915,0.0327882771176696,0.0207021447848283,0.022288775600156,9964.83900473702,162.435814471042,5424.0279221973,0.0309521335990801,0.000310532171772424,0.0120582275996844,15551.3027414054,0.0433208933705369,58872.1961119423
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,
4445087.93009968,413288.689732152,2296749.58127411,46239728601.3597,4473699801.36825,23146815348.8961,116414.713232207,6846.61213633967,40099.4801669768,1184038.13177346,128421.383336602,631648.247895369,18714.9101747125,1582.33044920298,8668.68556865125,78359.8979028127,5094.85061195225,32779.7063762555,49395.1980061192,4839.78106912017,25451.7709686448,2e+06,1,4,10402.4328266377,10824.6364164178,10078.0753538031,0.0261895186468441,0.0165661734918923,0.0174592304245602,9819.89658834595,162.369546246267,5452.23876640745,0.0247229056026208,0.000248492602378384,0.00944544365968707,15434.5049009997,0.0344168418646863,49851.346765686
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,
4442090.45420596,413502.882745677,2300718.28350386,28874461305.9748,3070429009.66725,15231435101.2507,98792.9456219647,5601.00880755456,35017.1249174274,1568575.08832565,160997.933362199,828176.060524732,21223.0940125603,1572.52008217098,9660.35016946929,38020.8949631011,2958.64319073404,18269.7647706354,17960.7382091274,2547.01654068301,10465.6177966793,2e+06,1,5,6500.19660870148,7425.41137628706,6620.29558788665,0.0222401922339117,0.0135452714872593,0.015220083731459,6136.18559861419,111.381170644306,3581.57991304668,0.0209947414688127,0.00020317907230889,0.00823406529871933,9829.14668230517,0.0294319858398409,39261.1325221461
