Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip
4448064.968,412429.8739,2296810.896,31498985966,3460276732,16777213893,101092.2778,6408.733383,36853.00657,1334854.13,145601.7886,706355.0104,20172.97597,1570.476256,9415.090994,53488.16488,4563.046966,26664.57759,31949.50407,4245.436333,19376.70118,2000000
4441949.839,410689.76,2296329.779,14803703558,1480099089,7709159361,133340.0484,7603.501498,48656.87021,1148837.309,120584.5351,614364.8338,19475.62238,1512.022819,9207.84699,73406.88885,4822.204162,31410.75141,89401.05723,7837.256963,44117.62931,2000000
4451159.73,413688.0534,2295630.382,16546530662,1700133213,8614326084,106549.3509,5642.572292,34906.40876,1438949.074,153569.0329,764948.6538,18131.19334,1327.669672,7911.652246,59953.19676,3923.329282,24783.03095,3548.900274,618.4618883,2475.482614,2000000
4443383.379,413096.1613,2298468.439,20206271246,2163276492,10789463787,75163.36222,4647.742664,26930.13295,1228522.015,129443.7053,650282.2225,18857.97803,1584.783041,9004.281874,28188.86337,2379.831536,12971.34904,11302.76912,1957.576988,7400.69563,2000000
4453254.652,416127.1559,2302889.236,7698246503,842326095.9,4039394586,111371.7627,6547.033908,36394.35222,1247293.335,139325.6063,673886.7832,19325.60552,1680.842885,8665.006681,31970.3511,1682.477946,10391.63128,71845.40543,6789.591517,32025.12565,2000000
4454058.693,414697.2949,2298787.276,12221467897,1280765401,6415843060,96997.88052,5123.670747,30520.87049,1289357.327,139236.0867,691344.7401,19539.79854,1465.832341,8753.70875,46262.4208,2391.685729,15696.17849,35478.37484,2261.289601,13372.75656,2000000
4443447.555,412867.6615,2295166.433,7144474660,776245738.3,3852410002,114428.3251,7246.42652,41332.12022,1394014.323,150060.6004,737636.592,17633.72597,1359.96213,7807.008331,58770.23,4178.398825,27079.88313,29789.99702,4138.748592,18254.23169,2000000
4444509.936,411197.4465,2286981.726,33282774873,3664210241,17701852718,90185.44638,5267.209462,31493.64823,1305282.005,142871.2364,691906.3836,18501.12593,1482.591718,8384.184925,33914.84759,2583.805417,15735.01119,5567.792056,1490.767024,3966.249638,2000000
4450264.125,415048.8331,2305432.165,15663777221,1767032910,8770582630,96502.53607,6113.828952,34953.94954,1339812.453,142642.3279,709770.6532,20563.34683,1492.402085,9091.757647,38624.6413,3139.726216,19353.81033,11629.78135,1654.681906,7805.782035,2000000
4443260.749,411604.5767,2290867.449,30583656935,2736728644,14560073729,148934.6892,9010.202947,52594.84278,1265200.525,138976.112,683879.0507,24152.3061,2137.024952,11095.93388,91778.84494,6440.505957,39872.60174,104018.0953,8816.249839,47918.329,2000000
4448822.001,414107.4466,2298945.06,21587740241,2041015120,10917469248,110442.3616,6476.054944,39370.35243,1471224.364,152325.1601,776902.9948,22910.06838,1825.137033,10863.75519,56197.87001,3788.02797,23707.97823,13176.95799,1423.32075,7397.834273,2000000
4446185.874,412633.8477,2289944.048,16753950006,1826028003,8950333147,120738.391,7137.142587,42800.11922,1413417.593,153766.4666,750625.5179,21228.40796,1842.713941,10011.07079,78671.78582,5692.874236,34495.29431,51521.1863,5620.522779,28987.18199,2000000
4442857.298,412823.9236,2301306.906,28400092248,2943247219,15089952967,91002.96188,5736.373303,33134.03674,1310373.586,133928.2694,690059.582,20457.88538,1583.14798,9525.457623,20235.92583,1488.723197,8389.498874,21668.23942,2993.388241,14758.87967,2000000
4442449.35,411040.0719,2301537.449,14018509670,1445731481,7252184350,107249.0287,6134.063221,36482.62869,1363518.388,146395.6108,733522.3693,23309.43207,1901.576143,11055.05735,39496.53767,2036.46869,13499.88257,54052.26099,5553.894036,25238.80425,2000000
4438315.915,412368.1503,2289670.584,13667946136,1562180058,7315026814,126061.1168,7343.810842,44276.28704,1474003.968,156581.2244,784331.0777,23695.71527,2029.51968,11030.12267,85316.67442,5796.70062,36307.35085,26901.2527,3803.969817,14733.94499,2000000
4447551.15,412440.5017,2299112.245,33399550398,3610633402,17728213149,175228.581,10088.41149,61577.83958,1308635.107,150072.0458,712249.4059,23638.89689,2036.46869,11246.35951,82394.41134,5854.745292,35252.32763,159743.8414,14413.06423,78475.57848,2000000
4441115.549,413142.7605,2300956.185,11484285245,1126387367,5888427363,137610.6345,7234.185948,46311.80088,1485730.218,160141.9788,796098.6129,23906.63816,2105.550024,11351.41219,64846.11732,4191.070549,27192.70235,79156.58146,6381.234989,36426.30156,2000000
4444262.633,412533.7002,2297673.391,7370156819,845409815.6,4102109812,115273.8155,7502.445321,42427.06032,1327240.059,151268.9106,712936.5404,18759.87436,1698.828558,9116.283564,60080.32277,4797.269479,27819.33955,37461.29528,4392.183073,21893.46909,2000000
4441344.866,412913.852,2299817.774,7731024947,789450439,3913810118,123238.68,7426.694532,42476.89076,1376443.138,148593.5418,736546.4149,24567.20287,2064.26473,11713.987,47940.40233,2988.074292,18789.30546,63283.81637,7279.701103,32279.37766,2000000
4443376.839,414419.7433,2295820.049,4913993873,568590278.5,2648856823,72046.43886,4259.309693,24186.19843,1182664.68,130518.7581,635509.4449,18096.44829,1542.27145,8250.109909,31082.92165,1271.260061,9221.74501,8108.677117,1338.706335,3449.161542,2000000
4441595.848,412415.9758,2294122.038,11220571222,1202521050,5944799744,102204.3562,5786.237054,35213.1044,1260191.106,133175.3237,671627.5374,18353.56166,1420.459393,8516.216114,60305.96121,3670.303566,23526.8952,43210.57912,4746.582582,21901.6444,2000000
