group,year,z,a1,a2,a3,a4,m1
AK-H-2017,2017,0,0,0,0,0,0
AK-H-2018,2018,0,0,0,0,0,0
AK-H-2019,2019,0,0,0,0,0,0
AK-L-2017,2017,0,0,0,0,0,0
AK-L-2018,2018,0,0,0,0,0,0
AK-L-2019,2019,0,0,0,0,0,0
AL-H-2017,2017,0,0,0,0.0002,0.0343,0
AL-H-2018,2018,0,0,0,0,0,0
AL-H-2019,2019,0,0,0,0,0,0
AL-L-2017,2017,0,0,0,0,0,0
AL-L-2018,2018,0,0,0,0,0,0
AL-L-2019,2019,0,0,0,0,0,0
AR-H-2017,2017,0,0,0,0,0,0
AR-H-2018,2018,0,0,0,0,0,0
AR-H-2019,2019,0,0,0,0,0,0
AR-L-2017,2017,0,0,0,0,0,0
AR-L-2018,2018,0,0,0,0,0,0
AR-L-2019,2019,0,0,0,0,0,0
AZ-H-2017,2017,0,0,0,0.0035,0.1641,0
AZ-H-2018,2018,0,0,0,0,0,0
AZ-H-2019,2019,0,0,0,0.0238,0.4807,0
AZ-L-2017,2017,0,0,0,0,0,0
AZ-L-2018,2018,0,0,0,0,0,0
AZ-L-2019,2019,0,0,0,0,0,0
CA-H-2017,2017,0,0,0,0.001,0.0855,0
CA-H-2018,2018,0,0,0,0,0,0
CA-H-2019,2019,0,0,0,0,0,0
CA-L-2017,2017,0,0,0,0,0,0
CA-L-2018,2018,0,0,0,0,0,0
CA-L-2019,2019,0,0,0,0,0,0
CO-H-2017,2017,0,0,0,0.0002,0.0306,0
CO-H-2018,2018,0,0,0,0.0143,0.3469,0
CO-H-2019,2019,0,0,0,0.0123,0.3177,0
CO-L-2017,2017,0,0,0,0,0,0
CO-L-2018,2018,0,0,0,0,0,0
CO-L-2019,2019,0,0,0,0,0,0
CT-H-2017,2017,0,0,0,0,0,0
CT-H-2018,2018,0,0,0,0,0,0
CT-H-2019,2019,0,0,0,0,0,0
CT-L-2017,2017,0,0,0,0,0,0
CT-L-2018,2018,0,0,0,0,0,0
CT-L-2019,2019,0,0,0,0,0,0
DC-H-2017,2017,0,0,0,0,0,0
DC-H-2018,2018,0,0,0,0.0225,0.4701,0
DC-H-2019,2019,0,0,0,0,0.0009,0
DC-L-2017,2017,0,0,0,0,0,0
DC-L-2018,2018,0,0,0,0,0,0
DC-L-2019,2019,0,0,0,0,0,0
DE-H-2017,2017,0,0,0,0,0,0
DE-H-2018,2018,0,0,0,0.0002,0.0203,0
DE-H-2019,2019,0,0,0,0,0,0
DE-L-2017,2017,0,0,0,0,0,0
DE-L-2018,2018,0,0,0,0,0,0
DE-L-2019,2019,0,0,0,0,0,0
FL-H-2017,2017,0,0,0,0,0,0
FL-H-2018,2018,0,0,0,0,0,0
FL-H-2019,2019,0,0,0,0,0,0
FL-L-2017,2017,0,0,0,0,0,0
FL-L-2018,2018,0,0,0,0,0,0
FL-L-2019,2019,0,0,0,0,0,0
GA-H-2017,2017,0,0,0,0,0,0
GA-H-2018,2018,0,0,0,0,0,0
GA-H-2019,2019,0,0,0,0,0,0
GA-L-2017,2017,0,0,0,0,0,0
GA-L-2018,2018,0,0,0,0,0,0
GA-L-2019,2019,0,0,0,0,0,0
HI-H-2017,2017,0,0,0,0,0,0
HI-H-2018,2018,0,0,0,0,0,0
HI-H-2019,2019,0,0,0,0,0,0
HI-L-2017,2017,0,0,0,0,0,0
HI-L-2018,2018,0,0,0,0,0,0
HI-L-2019,2019,0,0,0,0,0,0
IA-H-2017,2017,0,0,0,0,0,0
IA-H-2018,2018,0,0,0,0.0713,0.9175,0
IA-H-2019,2019,0,0,0,0,0,0
IA-L-2017,2017,0,0,0,0,0,0
IA-L-2018,2018,0,0,0,0,0,0
IA-L-2019,2019,0,0,0,0,0,0
ID-H-2017,2017,0,0,0,0.0014,0.1062,0
ID-H-2018,2018,0,0,0,0,0.0062,0
ID-H-2019,2019,0,0,0,0,0,0
ID-L-2017,2017,0,0,0,0,0,0
ID-L-2018,2018,0,0,0,0,0,0
ID-L-2019,2019,0,0,0,0,0,0
IL-H-2017,2017,0,0,0,0,0,0
IL-H-2018,2018,0,0,0,0.0029,0.1463,0
IL-H-2019,2019,0,0,0,0,0,0
IL-L-2017,2017,0,0,0,0,0,0
IL-L-2018,2018,0,0,0,0,0,0
IL-L-2019,2019,0,0,0,0,0,0
IN-H-2017,2017,0,0,0,0,0,0
IN-H-2018,2018,0,0,0,0,0,0
IN-H-2019,2019,0,0,0,0,0,0
IN-L-2017,2017,0,0,0,0,0,0
IN-L-2018,2018,0,0,0,0,0,0
IN-L-2019,2019,0,0,0,0,0,0
KS-H-2017,2017,0,0,0,0,0.0022,0
KS-H-2018,2018,0,0,0,0.0112,0.2954,0
KS-H-2019,2019,0,0,0,0,0,0
KS-L-2017,2017,0,0,0,0,0,0
KS-L-2018,2018,0,0,0,0,0,0
KS-L-2019,2019,0,0,0,0,0,0
KY-H-2017,2017,0,0,0,0,0,0
KY-H-2018,2018,0,0,0,0,0,0
KY-H-2019,2019,0,0,0,0,0,0
KY-L-2017,2017,0,0,0,0,0,0
KY-L-2018,2018,0,0,0,0,0,0
KY-L-2019,2019,0,0,0,0,0,0
LA-H-2017,2017,0,0,0,0,0.0176,0
LA-H-2018,2018,0,0,0,0.0183,0.4167,0
LA-H-2019,2019,0,0,0,0,0,0
LA-L-2017,2017,0,0,0,0,0,0
LA-L-2018,2018,0,0,0,0,0,0
LA-L-2019,2019,0,0,0,0,0,0
MA-H-2017,2017,0,0,0,0,0,0
MA-H-2018,2018,0,0,0,0,0.0007,0
MA-H-2019,2019,0,0,0,0,0,0
MA-L-2017,2017,0,0,0,0,0,0
MA-L-2018,2018,0,0,0,0,0,0
MA-L-2019,2019,0,0,0,0,0,0
MD-H-2017,2017,0,0,0,0,0,0
MD-H-2018,2018,0,0,0,0,0.0008,0
MD-H-2019,2019,0,0,0,0,0,0
MD-L-2017,2017,0,0,0,0,0,0
MD-L-2018,2018,0,0,0,0,0,0
MD-L-2019,2019,0,0,0,0,0,0
ME-H-2017,2017,0,0,0,0,0,0
ME-H-2018,2018,0,0,0,0,0,0
ME-H-2019,2019,0,0,0,0,0,0
ME-L-2017,2017,0,0,0,0,0,0
ME-L-2018,2018,0,0,0,0,0,0
ME-L-2019,2019,0,0,0,0,0,0
MI-H-2017,2017,0,0,0,0,0,0
MI-H-2018,2018,0,0,0,0,0.0179,0
MI-H-2019,2019,0,0,0,0,0,0
MI-L-2017,2017,0,0,0,0,0,0
MI-L-2018,2018,0,0,0,0,0,0
MI-L-2019,2019,0,0,0,0,0,0
MN-H-2017,2017,0,0,0,0,0,0
MN-H-2018,2018,0,0,0,0.0002,0.0385,0
MN-H-2019,2019,0,0,0,0,0,0
MN-L-2017,2017,0,0,0,0,0,0
MN-L-2018,2018,0,0,0,0,0,0
MN-L-2019,2019,0,0,0,0,0,0
MO-H-2017,2017,0,0,0,0,0,0
MO-H-2018,2018,0,0,0,0,0,0
MO-H-2019,2019,0,0,0,0,0,0
MO-L-2017,2017,0,0,0,0,0,0
MO-L-2018,2018,0,0,0,0,0,0
MO-L-2019,2019,0,0,0,0,0,0
MS-H-2017,2017,0,0,0,0.0249,0.5,0
MS-H-2018,2018,0,0,0,0.0142,0.3394,0
MS-H-2019,2019,0,0,0,0,0,0
MS-L-2017,2017,0,0,0,0,0,0
MS-L-2018,2018,0,0,0,0,0,0
MS-L-2019,2019,0,0,0,0,0,0
MT-H-2017,2017,0,0,0,0,0.0081,0
MT-H-2018,2018,0,0,0,0.0823,0.9175,0
MT-H-2019,2019,0,0,0,0,0,0
MT-L-2017,2017,0,0,0,0,0,0
MT-L-2018,2018,0,0,0,0,0,0
MT-L-2019,2019,0,0,0,0,0,0
NC-H-2017,2017,0,0,0,0,0,0
NC-H-2018,2018,0,0,0,0,0,0
NC-H-2019,2019,0,0,0,0,0,0
NC-L-2017,2017,0,0,0,0,0,0
NC-L-2018,2018,0,0,0,0,0,0
NC-L-2019,2019,0,0,0,0,0,0
ND-H-2017,2017,0,0,0,0.1139,0.8861,0
ND-H-2018,2018,0,0,0,0.4456,0.5544,0
ND-H-2019,2019,0,0,0,0,0.0069,0
ND-L-2017,2017,0,0,0,0,0,0
ND-L-2018,2018,0,0,0,0,0,0
ND-L-2019,2019,0,0,0,0,0,0
NE-H-2017,2017,0,0,0,0.0694,0.9147,0
