iter,policy,year,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
2210,Optimal,2017,151777320.324545,5163264.16661538,3186584.23686792,0,2514196.3693082,3.94113517776496e-06,1.16108588826033e-05
2210,Optimal,2018,151949432.949699,5163166.06513315,3953578.60367272,0,1901747.94413626,5.28436751026812e-07,8.99694444418715e-06
2210,Optimal,2019,148701161.565766,5163416.96260944,1402924.57792364,0,1249110.9622169,0,5.94039979844723e-06
2211,Optimal,2017,145075047.776929,5163242.32194069,2890254.93690049,0,1663327.45888419,3.75215833539299e-06,7.39303668781952e-06
2211,Optimal,2018,144930698.949632,5163151.73674152,3311331.82561859,0,1080693.13854828,5.28437253526303e-07,5.49232976823165e-06
2211,Optimal,2019,142512171.23409,5163410.00570851,1191687.63403418,0,830977.34633738,0,4.37095934412528e-06
2210,No intervention,2017,158877637.621497,5163523,0,0,12847513.7063377,3.94110765072606e-06,6.07589802847519e-05
2210,No intervention,2018,161988072.835448,5163522.99999999,0,0,15957948.9202889,5.28413802202887e-07,7.58524727748944e-05
2210,No intervention,2019,151547420.418742,5163523,0,0,5517296.50358253,0,2.6241255476776e-05
2211,No intervention,2017,152288430.15976,5163523,0,0,11820449.913519,3.94110765072606e-06,6.07589802847519e-05
2211,No intervention,2018,154923083.06279,5163522.99999999,0,0,14455102.8165481,5.28413802202887e-07,7.58524727748944e-05
2211,No intervention,2019,145456181.038034,5163523,0,0,4988200.79179251,0,2.6241255476776e-05
2210,Universal MP-NAT,2017,205507374.224722,5163206.13598437,58742517.8912339,0,678191.901838601,1.20986215950733e-07,3.21187587881004e-06
2210,Universal MP-NAT,2018,205682343.107648,5163149.40383477,58742517.8912337,0,844175.713140901,1.62236768100407e-08,4.00461337703181e-06
2210,Universal MP-NAT,2019,205087574.754979,5163394.6623239,58742517.8912338,0,291939.980162764,0,1.38765794073841e-06
2211,Universal MP-NAT,2017,204064589.12688,5163201.98625974,63065933.7907949,0,469662.909214837,9.54410160595857e-08,2.43385678686892e-06
2211,Universal MP-NAT,2018,204184114.48949,5163144.36944141,63065933.7907951,0,579026.304729834,1.27982013616079e-08,3.03451510829273e-06
2211,Universal MP-NAT,2019,203758711.034685,5163392.92889051,63065933.7907949,0,200010.648578971,0,1.05152770246104e-06
