group,year,z,a1,a2,a3,a4,m1
PR-006-2017-H,2017,2,0,0,0,0,0
PR-006-2017-L,2017,2,0,0,0,0,0
PR-007-2017-H,2017,2,0,0,0,0,0
PR-007-2017-L,2017,2,0,0,0,0,0
PR-009-2017-H,2017,2,0,0,0,0,0
PR-009-2017-L,2017,2,0,0,0,0,0
MA-010-2017-H,2017,2,0,0,0,2,0
MA-010-2017-L,2017,2,0,0,0,0,0
MA-011-2017-H,2017,2,0,0,0,0,0
MA-011-2017-L,2017,2,0,0,0,0,0
MA-012-2017-H,2017,2,0,0,0,0,0
MA-012-2017-L,2017,2,0,0,0,1,0
MA-013-2017-H,2017,2,0,0,0,0,0
MA-013-2017-L,2017,2,0,0,0,0,0
MA-014-2017-H,2017,2,0,0,0,0,0
MA-014-2017-L,2017,2,0,0,0,2,0
MA-015-2017-H,2017,2,0,0,0,2,0
MA-015-2017-L,2017,2,0,0,0,2,0
MA-016-2017-H,2017,2,0,0,0,2,0
MA-016-2017-L,2017,2,0,0,0,2,0
MA-017-2017-H,2017,2,0,0,0,2,0
MA-017-2017-L,2017,2,0,0,0,0,0
MA-018-2017-H,2017,2,0,0,0,0,0
MA-018-2017-L,2017,2,0,0,0,0,0
MA-019-2017-H,2017,2,0,0,0,2,0
MA-019-2017-L,2017,2,0,0,0,2,0
MA-020-2017-H,2017,2,0,0,0,0,0
MA-020-2017-L,2017,2,0,0,0,2,0
MA-021-2017-H,2017,2,0,0,0,2,0
MA-021-2017-L,2017,2,0,1,0,0,0
MA-022-2017-H,2017,2,0,0,2,0,0
MA-022-2017-L,2017,2,0,0,0,2,0
MA-023-2017-H,2017,2,0,0,0,2,0
MA-023-2017-L,2017,2,0,0,0,2,0
MA-024-2017-H,2017,2,0,0,0,2,0
MA-024-2017-L,2017,2,0,0,0,0,0
MA-025-2017-H,2017,2,0,0,0,2,0
MA-025-2017-L,2017,2,0,0,0,2,0
MA-026-2017-H,2017,2,0,0,0,0,0
MA-026-2017-L,2017,2,0,0,0,0,0
MA-027-2017-H,2017,2,0,0,0,0,0
MA-027-2017-L,2017,2,0,0,0,0,0
RI-028-2017-H,2017,2,0,0,0,2,0
RI-028-2017-L,2017,2,0,0,0,2,0
RI-029-2017-H,2017,2,0,0,0,2,0
RI-029-2017-L,2017,2,0,0,0,2,0
NH-030-2017-H,2017,2,0,0,0,0,0
NH-030-2017-L,2017,2,0,0,0,1,0
NH-031-2017-H,2017,2,0,0,0,0,0
NH-031-2017-L,2017,2,0,0,0,0,0
NH-032-2017-H,2017,2,0,0,0,0,0
NH-032-2017-L,2017,2,0,0,0,0,0
NH-033-2017-H,2017,2,0,0,0,0,0
NH-033-2017-L,2017,2,0,0,0,0,0
NH-034-2017-H,2017,2,0,0,0,1,0
NH-034-2017-L,2017,2,0,0,0,2,0
NH-035-2017-H,2017,2,0,0,0,2,0
NH-035-2017-L,2017,2,0,0,0,2,0
NH-036-2017-H,2017,2,0,0,0,2,0
NH-036-2017-L,2017,2,0,0,0,0,0
NH-037-2017-H,2017,2,0,0,0,2,0
