group,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,resid_risk1,resid_risk2,downsteam_NMC
2019-AL-High,0,7.06e-06,76548.8912,1,0,0,0,0,0,1551509.8316844,76548.8912,0,0,0,7.06e-06,20532.0076843957
2019-AK-High,0,9.47e-06,11420.9353,1,0,0,0,0,0,232527.737427622,11420.9353,0,0,0,9.47e-06,4109.0314276219
2019-AZ-High,0,0.000166,113635.8746,1,0,0,0,0,0,2989374.51238436,113635.8746,0,0,0,0.000166,716657.020384362
2019-AR-High,0,2.07e-05,47114.1819,1,0,0,0,0,0,979335.480773863,47114.1819,0,0,0,2.07e-05,37051.8427738625
2019-CA-High,2.02637e-08,3.75e-05,616867.7827,1,0,0,0,0,0,13216320.1328886,616867.7827,0,0,2.02637e-08,3.75e-05,878964.478888577
2019-CO-High,0,0.000146,89905.8174,1,0,0,0,0,0,2296803.82496573,89905.8174,0,0,0,0.000146,498687.476965728
2019-CT-High,0,1.94e-06,55661.5275,1,0,0,0,0,0,1117333.01290672,55661.5275,0,0,0,1.94e-06,4102.46290671513
2019-DE-High,0,0,15202.4764,1,0,0,0,0,0,304049.528,15202.4764,0,0,0,0,0
2019-DC-High,0,6.87e-05,11018.2062,1,0,0,0,0,0,249121.909858301,11018.2062,0,0,0,6.87e-05,28757.7858583014
2019-FL-High,0,6.45e-07,335312.0375,1,0,0,0,0,0,6714457.43564403,335312.0375,0,0,0,6.45e-07,8216.68564403111
2019-GA-High,3.77051e-08,9.13e-06,165760.0025,1,0,0,0,0,0,3372757.01254992,165760.0025,0,0,3.77051e-08,9.13e-06,57556.9625499211
2019-HI-High,0,0,22104.6996,1,0,0,0,0,0,442093.992,22104.6996,0,0,0,0,0
2019-ID-High,1.12008e-07,4.26e-05,27899.7925,1,0,0,0,0,0,603180.508960241,27899.7925,0,0,1.12008e-07,4.26e-05,45184.6589602412
2019-IL-High,0,1.31e-05,197833.4179,1,0,0,0,0,0,4055128.11567367,197833.4179,0,0,0,1.31e-05,98459.7576736698
2019-IN-High,0,4.11e-06,105103.9069,1,0,0,0,0,0,2118489.6462119,105103.9069,0,0,0,4.11e-06,16411.5082119013
2019-IA-High,0,1.1e-05,49257.189,1,0,0,0,0,0,1005728.74447432,49257.189,0,0,0,1.1e-05,20584.964474318
2019-KS-High,0,1.43e-05,45482.8762,1,0,0,0,0,0,934367.468532093,45482.8762,0,0,0,1.43e-05,24709.9445320935
2019-KY-High,0,1.55e-06,69749.6453,1,0,0,0,0,0,1399100.25413003,69749.6453,0,0,0,1.55e-06,4107.3481300272
2019-LA-High,0,2.98e-05,72577.3199,1,0,0,0,0,0,1533714.83075613,72577.3199,0,0,0,2.98e-05,82168.4327561253
2019-ME-High,0,0,20985.9384,1,0,0,0,0,0,419718.768,20985.9384,0,0,0,0,0
2019-MD-High,0,3.44e-06,94385.6086,1,0,0,0,0,0,1900047.53788338,94385.6086,0,0,0,3.44e-06,12335.3658833758
2019-MA-High,0,5.02e-06,107606.2727,1,0,0,0,0,0,2172647.89984261,107606.2727,0,0,0,5.02e-06,20522.4458426146
2019-MI-High,0,8.32e-06,155915.5589,1,0,0,0,0,0,3167594.57041959,155915.5589,0,0,0,8.32e-06,49283.3924195926
2019-MN-High,0,3.68e-06,88046.3569,1,0,0,0,0,0,1773236.82534012,88046.3569,0,0,0,3.68e-06,12309.6873401234
2019-MS-High,0,3.49e-05,46463.8609,1,0,0,0,0,0,990884.001411894,46463.8609,0,0,0,3.49e-05,61606.7834118935
2019-MO-High,0,3.38e-06,95817.9853,1,0,0,0,0,0,1928663.85404499,95817.9853,0,0,0,3.38e-06,12304.1480449892
2019-MT-High,0,1.94e-05,16685.8421,1,0,0,0,0,0,346014.932145398,16685.8421,0,0,0,1.94e-05,12298.0901453981
2019-NE-High,1.03476e-07,1e-04,30200.1225,1,0,0,0,0,0,718768.042432038,30200.1225,0,0,1.03476e-07,1e-04,114765.592432038
2019-NV-High,6.49855e-08,9.89e-05,48087.626,1,0,0,0,0,0,1142466.01661173,48087.626,0,0,6.49855e-08,9.89e-05,180713.496611727
2019-NH-High,0,0,21227.9099,1,0,0,0,0,0,424558.198,21227.9099,0,0,0,0,0
2019-NJ-High,6.76068e-08,6.24e-06,138669.4151,1,0,0,0,0,0,2806353.64673203,138669.4151,0,0,6.76068e-08,6.24e-06,32965.3447320333
2019-NM-High,0,0.000132,32735.8513,1,0,0,0,0,0,818883.845031526,32735.8513,0,0,0,0.000132,164166.819031526
2019-NY-High,3.08682e-08,5.7e-06,303710.4503,1,0,0,0,0,0,6140069.48671047,303710.4503,0,0,3.08682e-08,5.7e-06,65860.4807104709
2019-NC-High,0,6.6e-07,163740.7524,1,0,0,0,0,0,3278920.76045284,163740.7524,0,0,0,6.6e-07,4105.71245283863
2019-ND-High,0,8.18e-05,11897.369,1,0,0,0,0,0,274921.006343508,11897.369,0,0,0,8.18e-05,36973.6263435084
2019-OH-High,0,1.78e-06,182491.1041,1,0,0,0,0,0,3662163.05817102,182491.1041,0,0,0,1.78e-06,12340.9761710188
2019-OK-High,0,1.23e-05,61776.5274,1,0,0,0,0,0,1264398.52935297,61776.5274,0,0,0,1.23e-05,28867.9813529748
2019-OR-High,4.74581e-08,1.48e-05,65847.6257,1,0,0,0,0,0,1354007.48679174,65847.6257,0,0,4.74581e-08,1.48e-05,37054.9727917382
