group,year,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2,season
PR-006-2017-H,2017,0,0,17049.2243130791,1,0,0,0,0,0,340984.486261582,17049.2243130791,0,0,0,0,0,H
PR-006-2017-L,2017,0,0,17049.2243130791,1,0,0,0,0,0,340984.486261582,17049.2243130791,0,0,0,0,0,L
PR-007-2017-H,2017,0,0,19203.5950040983,1,0,0,0,0,0,384071.900081966,19203.5950040983,0,0,0,0,0,H
PR-007-2017-L,2017,0,0,19203.5950040983,1,0,0,0,0,0,384071.900081966,19203.5950040983,0,0,0,0,0,L
PR-009-2017-H,2017,0,0,16008.8797942747,1,0,0,0,0,0,320177.595885494,16008.8797942747,0,0,0,0,0,H
PR-009-2017-L,2017,0,0,16008.8797942747,1,0,0,0,0,0,320177.595885494,16008.8797942747,0,0,0,0,0,L
MA-010-2017-H,2017,0,0,7734.25863006954,1,0,0,0,0,0,154685.172601391,7734.25863006954,0,0,0,0,0,H
MA-010-2017-L,2017,0,0,7734.25863006954,1,0,0,0,0,0,154685.172601391,7734.25863006954,0,0,0,0,0,L
MA-011-2017-H,2017,0,0,2782.02621743338,1,0,0,0,0,0,55640.5243486676,2782.02621743338,0,0,0,0,0,H
MA-011-2017-L,2017,0,0,2782.02621743338,1,0,0,0,0,0,55640.5243486676,2782.02621743338,0,0,0,0,0,L
MA-012-2017-H,2017,0,0,2153.4647693319,1,0,0,0,0,0,43069.295386638,2153.4647693319,0,0,0,0,0,H
MA-012-2017-L,2017,0,0,2153.4647693319,1,0,0,0,0,0,43069.295386638,2153.4647693319,0,0,0,0,0,L
MA-013-2017-H,2017,0,0,1369.4848873581,1,0,0,0,0,0,27389.697747162,1369.4848873581,0,0,0,0,0,H
MA-013-2017-L,2017,0,0,1369.4848873581,1,0,0,0,0,0,27389.697747162,1369.4848873581,0,0,0,0,0,L
MA-014-2017-H,2017,0,0,3490.19182732845,1,0,0,0,0,0,69803.836546569,3490.19182732845,0,0,0,0,0,H
MA-014-2017-L,2017,0,0,3490.19182732845,1,0,0,0,0,0,69803.836546569,3490.19182732845,0,0,0,0,0,L
MA-015-2017-H,2017,0,0,6158.05997543747,1,0,0,0,0,0,123161.199508749,6158.05997543747,0,0,0,0,0,H
MA-015-2017-L,2017,0,0,6158.05997543747,1,0,0,0,0,0,123161.199508749,6158.05997543747,0,0,0,0,0,L
MA-016-2017-H,2017,0,0,3104.4469654804,1,0,0,0,0,0,62088.939309608,3104.4469654804,0,0,0,0,0,H
MA-016-2017-L,2017,0,0,3104.4469654804,1,0,0,0,0,0,62088.939309608,3104.4469654804,0,0,0,0,0,L
MA-017-2017-H,2017,0,0,6245.52403894406,1,0,0,0,0,0,124910.480778881,6245.52403894406,0,0,0,0,0,H
MA-017-2017-L,2017,0,0,6245.52403894406,1,0,0,0,0,0,124910.480778881,6245.52403894406,0,0,0,0,0,L
MA-018-2017-H,2017,0,0,11750.7343165422,1,0,0,0,0,0,235014.686330844,11750.7343165422,0,0,0,0,0,H
MA-018-2017-L,2017,0,0,11750.7343165422,1,0,0,0,0,0,235014.686330844,11750.7343165422,0,0,0,0,0,L
MA-019-2017-H,2017,0,0,7848.59795498896,1,0,0,0,0,0,156971.959099779,7848.59795498896,0,0,0,0,0,H
MA-019-2017-L,2017,0,0,7848.59795498896,1,0,0,0,0,0,156971.959099779,7848.59795498896,0,0,0,0,0,L
