"","z1","z2","z3","z4","z5","m11","m12","m13","m14","m15","m21","m22","m23","m24","m25","a11","a12","a13","a14","a15","a21","a22","a23","a24","a25","a31","a32","a33","a34","a35","obj_cost","","","","","","",""
"1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6398500.795536,96983.65202976,1410000,0,0.001,0.000138383178217064,8.02935158842242e-06,1.3232192789026e-05
"2",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6417811.195536,96983.65202976,1410000,24000,0.000991947838799055,0.000138383178217064,7.063092244309e-06,1.30711495650071e-05
"3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6423215.50230816,96984.7753179456,1446000,0,0.001,0.000138386208291466,9.48423257229457e-06,1.09771333135013e-05
"4",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6431236.04238144,96967.3370507904,1566000,0,0.001,9.13578164014988e-05,8.03002953615642e-06,1.32310540897931e-05
"5",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,6435457.6224496,96979.179850336,1462000,0,0.001,0.000132531134806499,8.02603267344031e-06,1.32323418410814e-05
"6",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6442525.90230816,96984.7753179456,1446000,24000,0.000991947932060059,0.000138386208291466,8.51798441950166e-06,1.08160919547025e-05
"7",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6443283.83494698,96891.8435003535,1478000,0,0.001,0.000138372170857871,5.06489240124911e-06,1.28692872178293e-05
"8",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6444391.355536,96983.65202976,1410000,48000,0.000983841161132279,0.000138383178217064,7.64153945559712e-06,1.21010740682856e-05
"9",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6450546.44238144,96967.3370507904,1566000,24000,0.000991946484004289,9.13578164014988e-05,7.06360761667115e-06,1.30699837698789e-05
"10",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6453698.395536,97225.95602976,1242000,0,0.001,0.000139035172858967,3.22103806880292e-05,1.32490593422122e-05
"11",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,6454768.0224496,96979.179850336,1462000,24000,0.000991956690443052,0.000132531134806499,7.06083552660653e-06,1.30714756499424e-05
