"","z1","z2","z3","z4","z5","m11","m12","m13","m14","m15","m21","m22","m23","m24","m25","a11","a12","a13","a14","a15","a21","a22","a23","a24","a25","a31","a32","a33","a34","a35","obj cost","yield","test cost","mod cost","RR disease 1","RR disease 2","RR disease 3","RR disease 4"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+06,0,0,0,NA,NA,NA,NA
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7213500,75000,0,0,0.001,1e-04,2e-04,1e-05
"3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8825880,12000,0,0,0.001,4e-04,2e-04,2e-05
"4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7039380,87000,0,0,0.001,0.000141379310344828,2e-04,1.13793103448276e-05
"5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9283760,8000,0,0,0.001,1e-04,2e-04,5e-04
"6",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497260,83000,0,0,0.001,1e-04,2e-04,5.72289156626506e-05
"7",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9109640,20000,0,0,0.001,0.00028,2e-04,0.000212
"8",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7323140,95000,0,0,0.001,0.000137894736842105,2e-04,5.25263157894737e-05
"9",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10587440,4000,0,0,0.001,0.00015,0.004,1e-05
"10",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8800940,79000,0,0,0.001,0.00010253164556962,0.000392405063291139,1e-05
"11",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10413320,16000,0,0,0.001,0.0003375,0.00115,1.75e-05
"12",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8626820,91000,0,0,0.001,0.000141758241758242,0.000367032967032967,1.13186813186813e-05
"13",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10871200,12000,0,0,0.001,0.000116666666666667,0.00146666666666667,0.000336666666666667
"14",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9084700,87000,0,0,0.001,0.000102298850574713,0.000374712643678161,5.50574712643678e-05
"15",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10697080,24000,0,0,0.001,0.000258333333333333,0.000833333333333333,0.000178333333333333
"16",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8910580,99000,0,0,0.001,0.000138383838383838,0.000353535353535354,5.08080808080808e-05
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9137780,1000,0,0,0.009,1e-04,2e-04,1e-05
"18",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7351280,76000,0,0,0.00110526315789474,1e-04,2e-04,1e-05
"19",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8963660,13000,0,0,0.00161538461538462,0.000376923076923077,2e-04,1.92307692307692e-05
"20",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7177160,88000,0,0,0.00109090909090909,0.000140909090909091,2e-04,1.13636363636364e-05
"21",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9421540,9000,0,0,0.00188888888888889,1e-04,2e-04,0.000445555555555556
"22",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7635040,84000,0,0,0.0010952380952381,1e-04,2e-04,5.66666666666667e-05
"23",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9247420,21000,0,0,0.00138095238095238,0.000271428571428571,2e-04,0.000202380952380952
"24",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7460920,96000,0,0,0.00108333333333333,0.0001375,2e-04,5.20833333333333e-05
"25",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10725220,5000,0,0,0.0026,0.00014,0.00324,1e-05
"26",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8938720,80000,0,0,0.0011,0.0001025,0.00039,1e-05
"27",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10551100,17000,0,0,0.00147058823529412,0.000323529411764706,0.00109411764705882,1.70588235294118e-05
"28",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8764600,92000,0,0,0.00108695652173913,0.000141304347826087,0.000365217391304348,1.1304347826087e-05
"29",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11008980,13000,0,0,0.00161538461538462,0.000115384615384615,0.00136923076923077,0.000311538461538462
"30",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9222480,88000,0,0,0.00109090909090909,0.000102272727272727,0.000372727272727273,5.45454545454545e-05
"31",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10834860,25000,0,0,0.00132,0.000252,0.000808,0.0001716
"32",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9048360,1e+05,0,0,0.00108,0.000138,0.000352,5.04e-05
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+06,0,0,0,NA,NA,NA,NA
"34",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6827625,75000,0,450000,8e-04,1e-04,0.00014,6e-06
"35",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8758332,12000,0,72000,8e-04,4e-04,0.00014,1.2e-05
"36",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6585957,87000,0,522000,8e-04,0.000141379310344828,0.00014,6.82758620689655e-06
"37",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9052872,8000,0,48000,8e-04,1e-04,0.00014,3e-04
"38",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6880497,83000,0,498000,8e-04,1e-04,0.00014,3.43373493975904e-05
"39",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8811204,20000,0,120000,8e-04,0.00028,0.00014,0.0001272
"40",1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6638829,95000,0,570000,8e-04,0.000137894736842105,0.00014,3.15157894736842e-05
"41",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10063664,4000,0,24000,8e-04,0.00015,0.0028,6e-06
"42",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7891289,79000,0,474000,8e-04,0.00010253164556962,0.000274683544303797,6e-06
"43",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9821996,16000,0,96000,8e-04,0.0003375,0.000805,1.05e-05
"44",1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7649621,91000,0,546000,8e-04,0.000141758241758242,0.000256923076923077,6.79120879120879e-06
"45",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10116536,12000,0,72000,8e-04,0.000116666666666667,0.00102666666666667,0.000202
"46",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7944161,87000,0,522000,8e-04,0.000102298850574713,0.000262298850574713,3.30344827586207e-05
